# mem-diff: /tmp/w3-mem-before-e3.snap -> /tmp/w3-mem-after-e3.snap
# 131 regions in before, 131 in after
REGION_ONLY_IN_BEFORE addr=0x100508000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10050c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10051c000 size=32768
REGION_ONLY_IN_BEFORE addr=0x100554000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100558000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10055c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100560000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100564000 size=32768
DIFF addr=0x10056c468 len=10 region=0x10056c000+1128 prot=0x705 before=5f5f4c494e4b45444954 after=00000000000000000000
DIFF addr=0x10056c47a len=1 region=0x10056c000+1146 prot=0x705 before=01 after=00
DIFF addr=0x10056c481 len=1 region=0x10056c000+1153 prot=0x705 before=80 after=00
DIFF addr=0x10056c48a len=1 region=0x10056c000+1162 prot=0x705 before=01 after=00
DIFF addr=0x10056c490 len=2 region=0x10056c000+1168 prot=0x705 before=8051 after=0000
DIFF addr=0x10056c498 len=1 region=0x10056c000+1176 prot=0x705 before=01 after=00
DIFF addr=0x10056c49c len=1 region=0x10056c000+1180 prot=0x705 before=01 after=00
DIFF addr=0x10056c4a8 len=1 region=0x10056c000+1192 prot=0x705 before=0d after=00
DIFF addr=0x10056c4ac len=1 region=0x10056c000+1196 prot=0x705 before=38 after=00
DIFF addr=0x10056c4b0 len=1 region=0x10056c000+1200 prot=0x705 before=18 after=00
DIFF addr=0x10056c4b4 len=1 region=0x10056c000+1204 prot=0x705 before=01 after=00
DIFF addr=0x10056c4c0 len=24 region=0x10056c000+1216 prot=0x705 before=2f746d702f77332d696e746572706f7365722e64796c6962 after=000000000000000000000000000000000000000000000000
DIFF addr=0x10056c4e0 len=1 region=0x10056c000+1248 prot=0x705 before=34 after=00
DIFF addr=0x10056c4e3 len=2 region=0x10056c000+1251 prot=0x705 before=8010 after=0000
DIFF addr=0x10056c4ea len=1 region=0x10056c000+1258 prot=0x705 before=01 after=00
DIFF addr=0x10056c4ec len=2 region=0x10056c000+1260 prot=0x705 before=1802 after=0000
DIFF addr=0x10056c4f0 len=1 region=0x10056c000+1264 prot=0x705 before=33 after=00
DIFF addr=0x10056c4f3 len=2 region=0x10056c000+1267 prot=0x705 before=8010 after=0000
DIFF addr=0x10056c4f8 len=3 region=0x10056c000+1272 prot=0x705 before=180201 after=000000
DIFF addr=0x10056c4fc len=1 region=0x10056c000+1276 prot=0x705 before=08 after=00
DIFF addr=0x10056c500 len=1 region=0x10056c000+1280 prot=0x705 before=02 after=00
DIFF addr=0x10056c504 len=1 region=0x10056c000+1284 prot=0x705 before=18 after=00
DIFF addr=0x10056c508 len=3 region=0x10056c000+1288 prot=0x705 before=300201 after=000000
DIFF addr=0x10056c50c len=1 region=0x10056c000+1292 prot=0x705 before=44 after=00
DIFF addr=0x10056c510 len=3 region=0x10056c000+1296 prot=0x705 before=080701 after=000000
DIFF addr=0x10056c514 len=2 region=0x10056c000+1300 prot=0x705 before=7802 after=0000
DIFF addr=0x10056c518 len=1 region=0x10056c000+1304 prot=0x705 before=0b after=00
DIFF addr=0x10056c51c len=1 region=0x10056c000+1308 prot=0x705 before=50 after=00
DIFF addr=0x10056c524 len=1 region=0x10056c000+1316 prot=0x705 before=30 after=00
DIFF addr=0x10056c528 len=1 region=0x10056c000+1320 prot=0x705 before=30 after=00
DIFF addr=0x10056c530 len=1 region=0x10056c000+1328 prot=0x705 before=30 after=00
DIFF addr=0x10056c534 len=1 region=0x10056c000+1332 prot=0x705 before=14 after=00
DIFF addr=0x10056c550 len=3 region=0x10056c000+1360 prot=0x705 before=700601 after=000000
DIFF addr=0x10056c554 len=1 region=0x10056c000+1364 prot=0x705 before=26 after=00
DIFF addr=0x10056c568 len=1 region=0x10056c000+1384 prot=0x705 before=1b after=00
DIFF addr=0x10056c56c len=1 region=0x10056c000+1388 prot=0x705 before=18 after=00
DIFF addr=0x10056c570 len=17 region=0x10056c000+1392 prot=0x705 before=42d59694513748f18fa7f9362bde2ac132 after=0000000000000000000000000000000000
DIFF addr=0x10056c584 len=1 region=0x10056c000+1412 prot=0x705 before=20 after=00
DIFF addr=0x10056c588 len=1 region=0x10056c000+1416 prot=0x705 before=01 after=00
DIFF addr=0x10056c58e len=1 region=0x10056c000+1422 prot=0x705 before=1a after=00
DIFF addr=0x10056c591 len=2 region=0x10056c000+1425 prot=0x705 before=021a after=0000
DIFF addr=0x10056c594 len=1 region=0x10056c000+1428 prot=0x705 before=01 after=00
DIFF addr=0x10056c598 len=1 region=0x10056c000+1432 prot=0x705 before=03 after=00
DIFF addr=0x10056c59d len=4 region=0x10056c000+1437 prot=0x705 before=01ce042a after=00000000
DIFF addr=0x10056c5a4 len=1 region=0x10056c000+1444 prot=0x705 before=10 after=00
DIFF addr=0x10056c5b0 len=1 region=0x10056c000+1456 prot=0x705 before=0c after=00
DIFF addr=0x10056c5b4 len=1 region=0x10056c000+1460 prot=0x705 before=38 after=00
DIFF addr=0x10056c5b8 len=1 region=0x10056c000+1464 prot=0x705 before=18 after=00
DIFF addr=0x10056c5bc len=1 region=0x10056c000+1468 prot=0x705 before=02 after=00
DIFF addr=0x10056c5c2 len=2 region=0x10056c000+1474 prot=0x705 before=4c05 after=0000
DIFF addr=0x10056c5c6 len=1 region=0x10056c000+1478 prot=0x705 before=01 after=00
DIFF addr=0x10056c5c8 len=26 region=0x10056c000+1480 prot=0x705 before=2f7573722f6c69622f6c696253797374656d2e422e64796c6962 after=0000000000000000000000000000000000000000000000000000
DIFF addr=0x10056c5e8 len=1 region=0x10056c000+1512 prot=0x705 before=26 after=00
DIFF addr=0x10056c5ec len=1 region=0x10056c000+1516 prot=0x705 before=10 after=00
DIFF addr=0x10056c5f0 len=3 region=0x10056c000+1520 prot=0x705 before=200201 after=000000
DIFF addr=0x10056c5f4 len=1 region=0x10056c000+1524 prot=0x705 before=10 after=00
DIFF addr=0x10056c5f8 len=1 region=0x10056c000+1528 prot=0x705 before=29 after=00
DIFF addr=0x10056c5fc len=1 region=0x10056c000+1532 prot=0x705 before=10 after=00
DIFF addr=0x10056c600 len=3 region=0x10056c000+1536 prot=0x705 before=300201 after=000000
DIFF addr=0x10056c608 len=1 region=0x10056c000+1544 prot=0x705 before=1d after=00
DIFF addr=0x10056c60c len=1 region=0x10056c000+1548 prot=0x705 before=10 after=00
DIFF addr=0x10056c610 len=3 region=0x10056c000+1552 prot=0x705 before=800901 after=000000
DIFF addr=0x10056c615 len=1 region=0x10056c000+1557 prot=0x705 before=48 after=00
DIFF addr=0x10056c638 len=21 region=0x10056c000+1592 prot=0x705 before=7f2303d5ffc301d1fd7b06a9fd830191e80301aa10 after=000000000000000000000000000000000000000000
DIFF addr=0x10056c64f len=26 region=0x10056c000+1615 prot=0x705 before=9010e22d91f023c1dae10310aaa0831ff8a8031ff8a2831ef860 after=0000000000000000000000000000000000000000000000000000
DIFF addr=0x10056c66b len=1 region=0x10056c000+1643 prot=0x705 before=90 after=00
DIFF addr=0x10056c66f len=3 region=0x10056c000+1647 prot=0x705 before=916701 after=000000
DIFF addr=0x10056c673 len=2 region=0x10056c000+1651 prot=0x705 before=9460 after=0000
DIFF addr=0x10056c677 len=1 region=0x10056c000+1655 prot=0x705 before=90 after=00
DIFF addr=0x10056c679 len=1 region=0x10056c000+1657 prot=0x705 before=40 after=00
DIFF addr=0x10056c67b len=3 region=0x10056c000+1659 prot=0x705 before=916801 after=000000
DIFF addr=0x10056c67f len=2 region=0x10056c000+1663 prot=0x705 before=9468 after=0000
DIFF addr=0x10056c683 len=7 region=0x10056c000+1667 prot=0x705 before=90082940f94803 after=00000000000000
DIFF addr=0x10056c68b len=2 region=0x10056c000+1675 prot=0x705 before=b401 after=0000
DIFF addr=0x10056c68f len=2 region=0x10056c000+1679 prot=0x705 before=1468 after=0000
DIFF addr=0x10056c693 len=11 region=0x10056c000+1683 prot=0x705 before=90082940f9a8031ef82501 after=0000000000000000000000
DIFF addr=0x10056c69f len=3 region=0x10056c000+1695 prot=0x705 before=94e017 after=000000
DIFF addr=0x10056c6a3 len=7 region=0x10056c000+1699 prot=0x705 before=f9a8835ff8e81b after=00000000000000
DIFF addr=0x10056c6ab len=11 region=0x10056c000+1707 prot=0x705 before=f9a8835ef8a8831df85e01 after=0000000000000000000000
DIFF addr=0x10056c6b7 len=15 region=0x10056c000+1719 prot=0x705 before=94ec1740f9eb1b40f9aa835df8e803 after=000000000000000000000000000000
DIFF addr=0x10056c6c7 len=7 region=0x10056c000+1735 prot=0x705 before=aaa0035ef8e903 after=00000000000000
DIFF addr=0x10056c6cf len=3 region=0x10056c000+1743 prot=0x705 before=912c01 after=000000
DIFF addr=0x10056c6d3 len=3 region=0x10056c000+1747 prot=0x705 before=f92b05 after=000000
DIFF addr=0x10056c6d7 len=3 region=0x10056c000+1751 prot=0x705 before=f92a09 after=000000
DIFF addr=0x10056c6db len=3 region=0x10056c000+1755 prot=0x705 before=f9280d after=000000
DIFF addr=0x10056c6df len=2 region=0x10056c000+1759 prot=0x705 before=f901 after=0000
DIFF addr=0x10056c6e3 len=7 region=0x10056c000+1763 prot=0x705 before=9021e435915501 after=00000000000000
DIFF addr=0x10056c6eb len=2 region=0x10056c000+1771 prot=0x705 before=9401 after=0000
DIFF addr=0x10056c6ef len=2 region=0x10056c000+1775 prot=0x705 before=1460 after=0000
DIFF addr=0x10056c6f3 len=1 region=0x10056c000+1779 prot=0x705 before=90 after=00
DIFF addr=0x10056c6f5 len=1 region=0x10056c000+1781 prot=0x705 before=40 after=00
DIFF addr=0x10056c6f7 len=3 region=0x10056c000+1783 prot=0x705 before=915501 after=000000
DIFF addr=0x10056c6fb len=15 region=0x10056c000+1787 prot=0x705 before=94a0835ff8a1035ff8a2835ef85501 after=000000000000000000000000000000
DIFF addr=0x10056c70b len=34 region=0x10056c000+1803 prot=0x705 before=94fd7b46a9ffc30191ff0f5fd67f2303d5ff4301d1fd7b04a9fd030191e80301 after=0000000000000000000000000000000000000000000000000000000000000000
