# mem-diff: /tmp/w3-mem-before-e6.snap -> /tmp/w3-mem-after-e6.snap
# 130 regions in before, 132 in after
REGION_ONLY_IN_BEFORE addr=0x1049c4000 size=16384
REGION_ONLY_IN_BEFORE addr=0x1049c8000 size=16384
REGION_ONLY_IN_BEFORE addr=0x1049d8000 size=32768
REGION_ONLY_IN_BEFORE addr=0x104a10000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a14000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a18000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a1c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a20000 size=32768
REGION_ONLY_IN_BEFORE addr=0x104a28000 size=16384
DIFF addr=0x104a2c3e2 len=2 region=0x104a2c000+994 prot=0x301 before=0000 after=13a2
DIFF addr=0x104a2c3e6 len=2 region=0x104a2c000+998 prot=0x301 before=0000 after=141a
DIFF addr=0x104a2c3eb len=1 region=0x104a2c000+1003 prot=0x301 before=00 after=01
DIFF addr=0x104a2c3ef len=1 region=0x104a2c000+1007 prot=0x301 before=00 after=7f
DIFF addr=0x104a2c3f2 len=2 region=0x104a2c000+1010 prot=0x301 before=0000 after=13a2
DIFF addr=0x104a2c3f6 len=2 region=0x104a2c000+1014 prot=0x301 before=0000 after=141f
DIFF addr=0x104a2c3fb len=1 region=0x104a2c000+1019 prot=0x301 before=00 after=01
DIFF addr=0x104a2c3ff len=1 region=0x104a2c000+1023 prot=0x301 before=00 after=2f
DIFF addr=0x104a2c402 len=2 region=0x104a2c000+1026 prot=0x301 before=0000 after=13a2
DIFF addr=0x104a2c406 len=2 region=0x104a2c000+1030 prot=0x301 before=0000 after=1424
DIFF addr=0x104a2c40b len=1 region=0x104a2c000+1035 prot=0x301 before=00 after=01
DIFF addr=0x104a2c40e len=2 region=0x104a2c000+1038 prot=0x301 before=0000 after=0330
DIFF addr=0x104a2c412 len=2 region=0x104a2c000+1042 prot=0x301 before=0000 after=13a2
DIFF addr=0x104a2c416 len=2 region=0x104a2c000+1046 prot=0x301 before=0000 after=1429
DIFF addr=0x104a2c41b len=1 region=0x104a2c000+1051 prot=0x301 before=00 after=01
DIFF addr=0x104a2c41f len=1 region=0x104a2c000+1055 prot=0x301 before=00 after=99
DIFF addr=0x104a2c422 len=2 region=0x104a2c000+1058 prot=0x301 before=0000 after=13a2
DIFF addr=0x104a2c426 len=2 region=0x104a2c000+1062 prot=0x301 before=0000 after=142e
DIFF addr=0x104a2c42b len=1 region=0x104a2c000+1067 prot=0x301 before=00 after=01
DIFF addr=0x104a2c42f len=1 region=0x104a2c000+1071 prot=0x301 before=00 after=3f
DIFF addr=0x104a2c432 len=2 region=0x104a2c000+1074 prot=0x301 before=0000 after=13a2
DIFF addr=0x104a2c436 len=2 region=0x104a2c000+1078 prot=0x301 before=0000 after=1433
DIFF addr=0x104a2c43b len=1 region=0x104a2c000+1083 prot=0x301 before=00 after=01
DIFF addr=0x104a2c43e len=1 region=0x104a2c000+1086 prot=0x301 before=00 after=02
DIFF addr=0x104a2c442 len=2 region=0x104a2c000+1090 prot=0x301 before=0000 after=13a2
